stream,,2017-06-28,2017-06-29,2017-06-30,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21
RS03AXPS-PC03A-4A-CTDPFA303-ctdpf_optode_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-PC03A-4A-DOSTAD303-ctdpf_optode_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-4B-PHSENA302-phsen_data_record,,True,True,,True,,True,,,,,,,,,,,True,,,,True,True,True,
RS03AXPS-PC03A-4C-FLORDD303-flort_d_data_record,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-2A-CTDPFA302-ctdpf_sbe43_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-2A-DOFSTA302-ctdpf_sbe43_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-2D-PHSENA301-phsen_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-3A-FLORTD301-flort_d_data_record,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-3B-OPTAAD301-optaa_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-3C-PARADA301-parad_sa_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-3D-SPKIRA301-spkir_data_record,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-4A-NUTNRA301-nutnr_a_dark_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-4A-NUTNRA301-nutnr_a_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-4B-VELPTD302-velpt_velocity_data,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPS-SF03A-4F-PCO2WA301-pco2w_a_sami_data_record,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03CCAL-MJ03F-05-BOTPTA301-botpt_heat_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03CCAL-MJ03F-05-BOTPTA301-botpt_iris_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03CCAL-MJ03F-05-BOTPTA301-botpt_lily_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03CCAL-MJ03F-05-BOTPTA301-botpt_nano_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03ECAL-MJ03E-06-BOTPTA302-botpt_heat_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03ECAL-MJ03E-06-BOTPTA302-botpt_iris_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03ECAL-MJ03E-06-BOTPTA302-botpt_lily_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03ECAL-MJ03E-06-BOTPTA302-botpt_nano_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03INT1-MJ03C-06-MASSPA301-massp_rga_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-07-PPSDNA301-ppsdn_a_subcon_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-07-RASFLA301-d1000_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-07-RASFLA301-rasfl_a_subcon_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-09-THSPHA301-thsph_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-10-TRHPHA301-trhph_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03INT2-MJ03D-06-BOTPTA303-botpt_heat_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT2-MJ03D-06-BOTPTA303-botpt_iris_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT2-MJ03D-06-BOTPTA303-botpt_lily_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT2-MJ03D-06-BOTPTA303-botpt_nano_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03INT2-MJ03D-12-VEL3DB304-vel3d_b_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
