refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE02SHSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE02SHSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,83%,84%,87%,87%,84%,63%,71%,83%,87%,84%,86%,87%,87%,84%,87%,84%,87%,87%,90%,100%,100%,94%,100%,61%,,,
CE02SHSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,81%,,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE02SHSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,94%,89%,61%,,,
CE02SHSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,16%,,,,,
CE02SHSM-SBD12-08-FDCHPA000,,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,,,,,,,48%,100%,100%,100%,100%,100%,100%,100%,65%,,,,,
CE02SHSP-SP001-01-DOSTAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-02-VELPTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-04-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-05-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-06-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-07-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-08-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHSP-SP001-09-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
