node,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CP02PMCI-WFP01,,,,,,0.42666666666666675,0.9225806451612903,0.9,0.7225806451612904,0.05161290322580645,,0.6193548387096774,0.8333333333333334,,,,,,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9,0.9225806451612903,0.8967741935483872,0.903448275862069,0.9096774193548386,0.9066666666666666,0.8516129032258064,,0.8709677419354838,0.9225806451612903,0.9199999999999999,0.8709677419354838,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.20714285714285713,,,,0.42666666666666675,0.9032258064516128,0.9225806451612903,0.9199999999999999,,
CP02PMCO-RII01,,,,,,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9354838709677419,1.0,1.0,1.0,1.0,0.0967741935483871,,0.3870967741935484,1.0,1.0,1.0,0.16666666666666666,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7741935483870968,0.967741935483871,0.4666666666666667,,
CP02PMCO-WFP01,,,,,,0.56,0.9225806451612903,0.9,0.638709677419355,0.03870967741935484,,0.7483870967741936,0.9,0.9225806451612903,0.9225806451612903,0.9142857142857143,0.9032258064516128,0.9133333333333333,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9199999999999999,0.8516129032258064,0.9,0.9225806451612903,0.9032258064516128,0.9172413793103449,0.07741935483870968,,0.3161290322580646,0.9199999999999999,0.9032258064516128,0.9225806451612903,0.14666666666666667,0.8580645161290322,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9142857142857143,0.9225806451612903,0.9,0.9225806451612903,0.8400000000000001,0.9032258064516128,0.9225806451612903,0.9199999999999999,,
CP02PMUI-RII01,,,,,,0.6333333333333333,1.0,1.0,1.0,1.0,1.0,0.6129032258064516,1.0,0.41935483870967744,,,,,0.9354838709677419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.3548387096774194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4642857142857143,,,,0.4666666666666667,1.0,1.0,1.0,,
CP02PMUI-WFP01,0.23333333333333334,0.28387096774193543,,,,0.5733333333333334,0.9225806451612903,0.9,0.6258064516129032,0.03870967741935484,,0.3483870967741936,,,,,,,0.8580645161290322,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9,0.9225806451612903,0.9032258064516128,0.9172413793103449,0.9225806451612903,0.08,0.3032258064516129,0.9199999999999999,0.9032258064516128,0.9225806451612903,0.9199999999999999,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.42142857142857143,,,,0.4133333333333334,0.9032258064516128,0.9225806451612903,0.9199999999999999,,
CP02PMUO-RII01,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,,,,,,,,,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
CP02PMUO-WFP01,0.04666666666666667,,,,,0.5266666666666666,0.9225806451612903,0.9,0.9225806451612903,0.9032258064516128,0.9133333333333333,0.8967741935483872,0.9,0.9225806451612903,0.7870967741935484,,,0.03333333333333333,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9032258064516128,0.9600000000000002,0.1225806451612903,,,,,,,0.3806451612903226,0.9199999999999999,0.9032258064516128,0.9225806451612903,0.9466666666666667,0.9290322580645161,0.9733333333333334,0.9741935483870968,0.967741935483871,0.9428571428571428,0.9225806451612903,0.9266666666666665,0.935483870967742,0.9333333333333332,0.9032258064516128,0.9225806451612903,0.9199999999999999,,
CP03ISPM-RII01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03ISPM-WFP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03ISSM-MFD35,,,,,,,,,,,,,,0.03225806451612903,,,,,0.3419354838709677,0.45999999999999996,0.4451612903225806,0.2903225806451613,,0.2,0.07333333333333333,,,,,,0.07741935483870968,0.3266666666666667,0.18709677419354837,0.2,0.04,0.5419354838709677,0.78,0.6,0.3806451612903226,0.03571428571428571,,,,0.32,0.6,0.3483870967741936,0.6,,
CP03ISSM-MFD37,,,,,,,,,,,,,,0.15053763440860213,,,,,0.23655913978494622,0.2888888888888889,0.2903225806451613,0.17204301075268816,,0.3548387096774193,0.13333333333333333,,,,,,0.12903225806451613,1.0,0.9354838709677419,0.978494623655914,0.3666666666666667,0.6881720430107526,0.9555555555555556,0.956989247311828,0.7849462365591399,0.09523809523809523,,,,0.5111111111111111,0.7311827956989246,0.3548387096774193,0.6222222222222222,,
CP03ISSM-RID26,,,,,,,,,,,,,,0.467741935483871,,,,,0.7096774193548386,0.8,,0.5887096774193549,0.7833333333333333,0.75,0.7083333333333334,0.717741935483871,0.5645161290322581,0.46551724137931033,0.4274193548387097,0.25,0.16935483870967744,0.7166666666666667,0.6532258064516129,0.467741935483871,0.5833333333333333,0.8387096774193548,0.9666666666666667,0.7258064516129032,0.6370967741935484,0.75,0.45967741935483875,,,0.4916666666666667,0.8548387096774193,0.532258064516129,0.95,,
CP03ISSM-RID27,,,,,,,,,,,,,,0.435483870967742,,,,,0.6612903225806451,0.7333333333333334,,0.46774193548387094,0.6416666666666666,0.846774193548387,0.9166666666666667,0.935483870967742,0.9193548387096775,0.9310344827586206,0.9193548387096775,0.8083333333333333,0.467741935483871,0.9333333333333333,0.9193548387096775,0.935483870967742,0.9,0.6854838709677419,0.65,0.7016129032258065,0.5887096774193549,0.7142857142857143,0.4354838709677419,,,0.4833333333333334,0.8870967741935485,0.5,0.8583333333333334,,
CP03ISSM-SBD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03ISSM-SBD12,,,,,,,,,,,,,,,,,,,,,,,,0.3548387096774194,1.0,1.0,1.0,1.0,1.0,1.0,0.5806451612903226,1.0,1.0,1.0,1.0,1.0,1.0,0.6129032258064516,0.8709677419354839,1.0,0.6129032258064516,,,0.5333333333333333,1.0,1.0,1.0,,
