refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS03AXPD-DP03A-05-OPTAAC302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-06-DOSTAD304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-05-ADCPTD302,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,100%,29%,,,,,97%,94%,3%,,,,,58%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%
RS03AXPS-PC03A-06-VADCPA301,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,90%,71%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,65%,,23%,7%,,3%,,,,,
RS03AXPS-PC03A-4A-CTDPFA303,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPS-PC03A-4A-DOSTAD303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-4B-PHSENA302,,,,,,,,,,,,,,,,97%,100%,23%,81%,96%,97%,100%,100%,100%,97%,94%,83%,,,,,,6%,,,,58%,100%,100%,100%,100%,100%,100%,96%,100%,100%,81%,93%
RS03AXPS-PC03A-4C-FLORDD303,,,,,,,,,,,,,,,,97%,93%,74%,100%,96%,97%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPS-SF03A-2A-CTDPFA302,,,,,,,,,,,,,,,,77%,,68%,100%,89%,90%,90%,100%,93%,94%,100%,100%,100%,100%,100%,100%,100%,100%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPS-SF03A-2A-DOFSTA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-2D-PHSENA301,,,,,,,,,,,,,,,,81%,27%,65%,100%,93%,97%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,73%,100%,100%,84%,100%,60%,100%,93%,,,,,,,
RS03AXPS-SF03A-3A-FLORTD301,,,,,,,,,,,,,,,,81%,27%,68%,100%,89%,94%,80%,100%,97%,97%,100%,100%,100%,100%,100%,100%,100%,100%,80%,100%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPS-SF03A-3B-OPTAAD301,,,,,,,,,,,,,,,,,,,,,,,,,,,,97%,97%,,,,,,,,58%,100%,100%,100%,100%,100%,100%,54%,,,,
RS03AXPS-SF03A-3C-PARADA301,,,,,,,,,,,,,,,,81%,27%,68%,100%,89%,94%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%
RS03AXPS-SF03A-3D-SPKIRA301,,,,,,,,,,,,,,,,81%,27%,68%,100%,96%,94%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
