refdes,method,stream,parameter
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,eastward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,northward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,upward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,error_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,northward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,upward_seawater_velocity
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_earth,error_seawater_velocity
RS01SLBS-LJ01A-11-OPTAAC103,streamed,optaa_sample,beam_attenuation
RS01SLBS-LJ01A-11-OPTAAC103,streamed,optaa_sample,optical_absorption
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,density
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,practical_salinity
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,dissolved_oxygen
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,seawater_temperature
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,seawater_pressure
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,seawater_conductivity
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,density
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,practical_salinity
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,dissolved_oxygen
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,seawater_temperature
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,seawater_pressure
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,seawater_conductivity
RS01SLBS-LJ01A-12-DOSTAD101,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS01SLBS-MJ01A-05-HYDLFA101,streamed,iris,NULL
RS01SLBS-MJ01A-05-OBSBBA102,streamed,iris,NULL
RS01SLBS-MJ01A-06-PRESTA101,streamed,prest_real_time,seafloor_pressure
RS01SLBS-MJ01A-12-VEL3DB101,streamed,vel3d_b_sample,eastward_turbulent_velocity
RS01SLBS-MJ01A-12-VEL3DB101,streamed,vel3d_b_sample,northward_turbulent_velocity
RS01SLBS-MJ01A-12-VEL3DB101,streamed,vel3d_b_sample,upward_turbulent_velocity
RS01SUM1-LJ01B-05-HYDLFA104,streamed,iris,NULL
RS01SUM1-LJ01B-05-OBSBBA101,streamed,iris,NULL
RS01SUM1-LJ01B-06-OBSSPA103,streamed,iris,NULL
RS01SUM1-LJ01B-07-OBSSPA102,streamed,iris,NULL
RS01SUM1-LJ01B-08-OBSSPA101,streamed,iris,NULL
RS01SUM1-LJ01B-09-PRESTB102,streamed,prest_real_time,seafloor_pressure
RS01SUM1-LJ01B-12-VEL3DB104,streamed,vel3d_b_sample,eastward_turbulent_velocity
RS01SUM1-LJ01B-12-VEL3DB104,streamed,vel3d_b_sample,northward_turbulent_velocity
RS01SUM1-LJ01B-12-VEL3DB104,streamed,vel3d_b_sample,upward_turbulent_velocity
RS01SUM2-MJ01B-00-OSMOIA101,recovered_inst,osmoi_a_subcon_instrument_recovered,temp
RS01SUM2-MJ01B-05-CAMDSB103,streamed,camds_video,NULL
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam1
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam2
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam3
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam4
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,eastward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,northward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,upward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam,error_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,northward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,upward_seawater_velocity
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_earth,error_seawater_velocity
RS03ASHS-MJ03B-00-OSMOIA301,recovered_inst,osmoi_a_subcon_instrument_recovered,temp
RS03ASHS-MJ03B-05-OBSSPA302,streamed,iris,NULL
RS03ASHS-MJ03B-06-OBSSPA301,streamed,iris,NULL
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,corrected_compass_direction
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,seafloor_tilt_magnitude
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample,seafloor_tilt_direction
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample,bottom_pressure
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_meanpres
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_meandepth
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_5minrate
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s,botsflu_10minrate
