"reference_designator","method","name","id","name","unit"
"CE01ISSM-RID16-03-DOSTAD000","recovered_inst","dosta_abcdjm_ctdbp_instrument_recovered","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-RID16-03-DOSTAD000","recovered_inst","dosta_abcdjm_ctdbp_instrument_recovered","964","ctd_tc_oxygen","umol L-1"
"CE01ISSM-RID16-03-DOSTAD000","telemetered","dosta_abcdjm_ctdbp_dcl_instrument","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-RID16-03-DOSTAD000","telemetered","dosta_abcdjm_ctdbp_dcl_instrument","2022","dosta_ln_optode_oxygen","uM"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_diagnostics_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_host","velpt_ab_dcl_instrument_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_diagnostics_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","recovered_inst","velpt_ab_instrument_recovered","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_diagnostics","3248","pressure_mbar","0.001 dbar"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1154","eastward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1155","northward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","1156","upward_velocity","m s-1"
"CE01ISSM-RID16-04-VELPTA000","telemetered","velpt_ab_dcl_instrument","3248","pressure_mbar","0.001 dbar"
