node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GA03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,,0.3548387096774193,0.9777777777777779,0.989247311827957,0.9555555555555556,0.03225806451612903,,,,0.24444444444444446,0.21505376344086022,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666667,,
GA05MOAS-GL470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9888888888888889,1.0,1.0,1.0,1.0,0.6555555555555556,,,,,,,
GA05MOAS-GL493,,,,,,,,,,,,,,,,,,,,,0.5483870967741935,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494,,,,,,,,,,,,,,,,,,,,,0.3225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL496,,,,,,,,,,,,,,,,,,,,,0.5806451612903226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2333333333333333,1.0,1.0,1.0,0.989247311827957,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.03225806451612903,,,,,,,,,,,,,
GA05MOAS-PG562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6236559139784946,0.7666666666666666,0.5376344086021505,,,,,,,,,,,,,,,,
GA05MOAS-PG563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.6612903225806451,0.6451612903225806,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7166666666666667,0.8333333333333334,0.8279569892473119,0.8273809523809524,0.8333333333333334,0.8166666666666668,0.8010752688172044,0.49444444444444446,,,,,
GA05MOAS-PG580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RID16,,,,,,,,,,,,,,,0.12083333333333332,,,,,,,,,0.31666666666666665,0.06854838709677419,0.3588709677419355,0.6749999999999999,0.5846774193548387,0.5291666666666667,0.5524193548387096,0.5362903225806451,0.5474137931034482,0.03225806451612903,0.25416666666666665,0.532258064516129,0.4916666666666666,0.7217741935483871,0.7258064516129032,0.6583333333333334,0.5725806451612904,0.6125,0.6411290322580645,0.18951612903225806,,,,,,,0.7258064516129032,0.8583333333333334,,
GI01SUMO-RII11,,,,,,,,,,,,,,,0.16666666666666663,,,,,,,,,,,0.4599761051373957,0.8333333333333334,0.8243727598566308,0.4320987654320987,0.5758661887694146,0.6774193548387096,0.6577266922094508,0.020310633213859012,0.34074074074074057,0.3416965352449224,0.39382716049382716,0.7001194743130227,0.7885304659498208,0.7876543209876543,0.7885304659498208,0.7765432098765431,0.6774193548387096,0.2186379928315412,,0.0023894862604540022,0.12345679012345682,,,,0.7275985663082437,0.8012345679012347,,
GI01SUMO-SBD11,,,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,0.03225806451612903,0.3629032258064516,0.6833333333333333,0.685483870967742,0.6666666666666667,0.685483870967742,0.6209677419354839,,,,,,0.3064516129032258,0.43548387096774194,0.43333333333333335,0.41935483870967744,0.45833333333333337,0.5,0.1532258064516129,,,0.041666666666666664,,,,0.3709677419354839,0.43333333333333335,,
