refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CE01ISSM-SBD17-06-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSM-SBD17-06-FLORTD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSP-SP001-02-DOSTAJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE01ISSP-SP001-04-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSP-SP001-05-VELPTJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE01ISSP-SP001-06-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01ISSP-SP001-07-SPKIRJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE01ISSP-SP001-08-FLORTJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE01ISSP-SP001-09-CTDPFJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE01ISSP-SP001-10-PARADJ000,,,,,,,,,,0.26666666666666666,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,,0.16129032258064516,,,,,,,,0.2,1.0,0.8,0.3870967741935484,0.9354838709677419,,,
CE02SHBP-LJ01D-05-ADCPTB104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHBP-LJ01D-06-CTDBPN106,,,,,,,,,,,,,,,0.2,1.0,0.9333333333333333,0.7419354838709677,1.0,0.8571428571428571,0.9354838709677419,1.0,1.0,0.8666666666666667,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666667,0.06451612903225806,,0.22580645161290322,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,,
CE02SHBP-LJ01D-06-DOSTAD106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHBP-LJ01D-07-VEL3DC108,,,,,,,,,,,,,,,0.16666666666666666,1.0,0.9333333333333333,0.7419354838709677,1.0,0.9285714285714286,0.967741935483871,0.9333333333333333,1.0,1.0,0.7741935483870968,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,,
CE02SHBP-LJ01D-08-OPTAAD106,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,0.4838709677419355,,,,,,0.22580645161290322,1.0,1.0,0.7419354838709677,,,,,,,,,,,0.06666666666666667,,
CE02SHBP-LJ01D-09-PCO2WB103,,,,,,,,,,,,,,,0.2,1.0,1.0,0.5483870967741935,0.7419354838709677,0.9285714285714286,0.967741935483871,0.9333333333333333,1.0,1.0,0.5483870967741935,,,,,,,,,,,,0.22580645161290322,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.8387096774193549,1.0,,
CE02SHBP-LJ01D-10-PHSEND103,,,,,,,,,,,,,,,0.2,1.0,1.0,0.7419354838709677,1.0,0.9642857142857143,0.967741935483871,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,0.6451612903225806,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,,
